Giá nhà,Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC
13.2 Tỷ,152,"Phường Khuê Trung, Quận Cẩm Lệ",Nhà mặt phố,8,4.0,3.0
12 Tỷ,200,"Phường Khuê Trung, Quận Cẩm Lệ",Nhà mặt phố,8,4.0,3.0
7.5 Tỷ,100,"Phường Khuê Trung, Quận Cẩm Lệ",Nhà mặt phố,5,4.0,3.0
5.65 Tỷ,85,"Phường An Hải Đông, Quận Sơn Trà",Nhà trong ngõ,6,4.0,5.0
3.15 Tỷ,85,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,5,,
13.8 Tỷ,94,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà đất thổ cư,5,4.0,4.0
5.5 Tỷ,87,"Phường Phước Mỹ, Quận Sơn Trà",Nhà mặt phố,5,,
6.34 Tỷ,90,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,5,4.0,4.0
4 Tỷ,120,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà mặt phố,5,,
2.85 Tỷ,100,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà mặt phố,5,4.0,4.0
20.5 Tỷ,193,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,9,5.0,5.0
4.6 Tỷ,62,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,5,,
4.4 Tỷ,80,"Phường Bình Thuận, Quận Hải Châu",Nhà đất thổ cư,4,3.0,4.0
5.8 Tỷ,69,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Nhà mặt phố,5,,
1.99 Tỷ,52,"Phường Xuân Hà, Quận Thanh Khê",Nhà mặt phố,4,2.0,2.0
6.5 Tỷ,80,"Phường An Hải Bắc, Quận Sơn Trà",Nhà đất thổ cư,5,4.0,4.0
1.9 Tỷ,61,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà mặt phố,5,2.0,2.0
4.5 Tỷ,56,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,4,3.0,3.0
2.8 Tỷ,53,"Phường Xuân Hà, Quận Thanh Khê",Nhà mặt phố,4,3.0,3.0
5.4 Tỷ,121,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,6,7.0,7.0
1.45 Tỷ,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,6,2.0,2.0
1.6 Tỷ,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,7,2.0,2.0
3.05 Tỷ,79,"Phường Hòa Khê, Quận Thanh Khê",Nhà mặt phố,8,5.0,5.0
3150 Tỷ,52,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà trong ngõ,5,3.0,2.0
3.03 Tỷ,125,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà mặt phố,6,2.0,1.0
3.1 Tỷ,51,"Phường Vĩnh Trung, Quận Thanh Khê",Nhà mặt phố,4,3.0,2.0
14 Tỷ,135,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà mặt phố,6,4.0,4.0
12.5 Tỷ,427,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,3.0,3.0
12.5 Tỷ,427,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,3.0,3.0
16 Tỷ,204,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,7,5.0,4.0
3.7 Tỷ,90,"Phường An Hải Đông, Quận Sơn Trà",Nhà mặt phố,4,2.0,2.0
3.3 Tỷ,109,"Phường Hòa An, Quận Cẩm Lệ",Nhà mặt phố,5,1.0,1.0
5.2 Tỷ,73,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà đất thổ cư,5,3.0,3.0
4.8 Tỷ,98,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Nhà mặt phố,5,4.0,2.0
1.65 Tỷ,150,"Xã Hòa Phước, Huyện Hòa Vang",Nhà đất thổ cư,6,2.0,1.0
4.6 Tỷ,65,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,5,,
3.8 Tỷ,60,"Phường Xuân Hà, Quận Thanh Khê",Nhà đất thổ cư,4,2.0,2.0
4.5 Tỷ,80,"Phường Hòa An, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,4.0
11 Tỷ,90,"Phường An Hải Tây, Quận Sơn Trà",Nhà mặt phố,5,11.0,11.0
4.2 Tỷ,50,"Phường Bình Thuận, Quận Hải Châu",Nhà trong ngõ,4,3.0,4.0
160 Triệu,438,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà mặt phố,16,1.0,1.0
2.85 Tỷ,100,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà mặt phố,5,3.0,1.0
73 Triệu,50,"Phường Hải Châu II, Quận Hải Châu",Nhà mặt phố,4,3.0,3.0
3 Tỷ,50,"Phường An Khê, Quận Thanh Khê",Căn hộ chung cư,5,3.0,4.0
4.7 Tỷ,100,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,2.0
8.25 Tỷ,116,"Phường An Hải Bắc, Quận Sơn Trà",Căn hộ chung cư,5,8.0,9.0
6.2 Tỷ,94,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,5,,
4.15 Tỷ,70,"Phường Nam Dương, Quận Hải Châu",Nhà trong ngõ,5,5.0,3.0
3.9 Tỷ,66,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà đất thổ cư,5,3.0,2.0
700 Triệu,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,7,2.0,2.0
4.25 Tỷ,73,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà đất thổ cư,4,2.0,1.0
4.8 Triệu,240,"Phường Thọ Quang, Quận Sơn Trà",Nhà mặt phố,4,11.0,11.0
1.6 Tỷ,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,2,2.0,2.0
3.55 Tỷ,183,"Phường Hòa Khê, Quận Thanh Khê",Nhà mặt phố,4,3.0,4.0
8 Tỷ,115,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Nhà mặt phố,5,1.0,1.0
2.6 Tỷ,110,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà mặt phố,5,2.0,1.0
2.75 Tỷ,105,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,7,1.0,2.0
3.8 Tỷ,105,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà mặt phố,5,3.0,2.0
3.7 Tỷ,55,"Phường Hòa Thuận Đông, Quận Hải Châu",Nhà trong ngõ,6,3.0,3.0
10.4 Tỷ,215,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà trong ngõ,14,4.0,4.0
3.2 Tỷ,50,"Phường Bình Thuận, Quận Hải Châu",Nhà đất thổ cư,4,3.0,4.0
5.4 Tỷ,59,"Phường Hải Châu I, Quận Hải Châu",Nhà đất thổ cư,5,3.0,4.0
3.95 Tỷ,60,"Phường Chính Gián, Quận Thanh Khê",Nhà trong ngõ,5,4.0,
1.6 Tỷ,71,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,6,2.0,1.0
2.85 Tỷ,50,"Phường Vĩnh Trung, Quận Thanh Khê",Nhà đất thổ cư,5,2.0,
3.5 Tỷ,50,"Phường Thạch Thang, Quận Hải Châu",Nhà trong ngõ,6,4.0,
5.3 Tỷ,100,"Phường Khuê Trung, Quận Cẩm Lệ",Nhà đất thổ cư,5,4.0,3.0
20 Tỷ,300,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,5.0,5.0
14 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
3.2 Tỷ,56,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà mặt phố,4,3.0,
9.5 Tỷ,63,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,10,9.0,11.0
6.5 Tỷ,83,"Phường Hải Châu I, Quận Hải Châu",Nhà đất thổ cư,5,3.0,3.0
4.05 Tỷ,85,"Phường Chính Gián, Quận Thanh Khê",Nhà trong ngõ,3,3.0,3.0
11.73 Tỷ,345,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
4.8 Tỷ,150,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Nhà đất thổ cư,5,3.0,4.0
2.5 Tỷ,130,"Phường Hòa An, Quận Cẩm Lệ",Nhà trong ngõ,6,2.0,1.0
12.2 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
4.07 Tỷ,345,"Phường Phước Mỹ, Quận Sơn Trà","Nhà biệt thự, liền kề",15,4.0,4.0
4.68 Tỷ,120,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Nhà đất thổ cư,1,1.0,2.0
2.75 Tỷ,118,"Xã Hòa Phước, Huyện Hòa Vang",Nhà mặt phố,5,3.0,2.0
6.2 Tỷ,55,"Phường Xuân Hà, Quận Thanh Khê",Nhà mặt phố,5,3.0,3.0
3.56 Tỷ,176,"Phường Bình Hiên, Quận Hải Châu",Nhà mặt phố,6,,
3.2 Tỷ,55,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,5,2.0,
11.5 Tỷ,123,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,5,,
11.9 Tỷ,90,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà mặt phố,5,4.0,4.0
10.5 Tỷ,75,"Phường An Khê, Quận Thanh Khê",Nhà mặt phố,5,,
7 Tỷ,73,"Phường Vĩnh Trung, Quận Thanh Khê",Nhà mặt phố,4,,
4.15 Tỷ,63,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà mặt phố,5,4.0,4.0
3.6 Tỷ,88,"Phường Hòa Thọ Đông, Quận Cẩm Lệ",Nhà mặt phố,5,,
3.45 Tỷ,85,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,5,3.0,3.0
4.1 Tỷ,56,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà trong ngõ,5,4.0,4.0
3.5 Tỷ,44,"Phường Tân Chính, Quận Thanh Khê",Nhà đất thổ cư,6,4.0,4.0
1.7 Tỷ,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,7,2.0,2.0
12 Tỷ,120,"Phường Hòa Cường Nam, Quận Hải Châu","Nhà biệt thự, liền kề",6,,
11.5 Tỷ,150,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà mặt phố,6,8.0,9.0
12 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
11.5 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
3.5 Tỷ,72,"Phường Bình Hiên, Quận Hải Châu",Nhà trong ngõ,4,,
3.5 Tỷ,40,"Phường Bình Hiên, Quận Hải Châu",Nhà trong ngõ,7,,
3.4 Tỷ,72,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,4,2.0,2.0
500 Triệu,71,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,33,2.0,2.0
11.5 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
8.5 Tỷ,78,"Phường Bình Hiên, Quận Hải Châu",Nhà trong ngõ,7,3.0,4.0
570 Triệu,71,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,25,2.0,2.0
560 Triệu,71,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,40,2.0,2.0
21 Tỷ,300,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
12 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
11.5 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
11 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
2.75 Tỷ,118,"Xã Hòa Phước, Huyện Hòa Vang",Nhà mặt phố,5,3.0,2.0
2.65 Tỷ,50,"Phường Nam Dương, Quận Hải Châu",Nhà đất thổ cư,4,3.0,2.0
18.5 Tỷ,300,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,1.0,1.0
28.5 Tỷ,471,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",25,4.0,4.0
14 Tỷ,350,"Phường Phước Mỹ, Quận Sơn Trà","Nhà biệt thự, liền kề",15,4.0,4.0
14 Tỷ,350,"Phường An Hải Bắc, Quận Sơn Trà","Nhà biệt thự, liền kề",15,4.0,4.0
12 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
11 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
2.7 Tỷ,105,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,5,1.0,2.0
5.8 Tỷ,81,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà mặt phố,4,4.0,5.0
1 Tỷ,120,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Nhà đất thổ cư,5,1.0,1.0
4.25 Tỷ,337,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,3.0,3.0
12 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
11.5 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
27.5 Tỷ,210,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,8,11.0,11.0
12 Tỷ,345,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
12 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
11 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,4.0,4.0
2.9 Tỷ,95,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,4,2.0,
11.5 Tỷ,120,"Phường Bình Hiên, Quận Hải Châu","Nhà biệt thự, liền kề",6,4.0,4.0
12.3 Tỷ,120,"Phường Hải Châu I, Quận Hải Châu",Nhà mặt phố,6,5.0,5.0
1.39 Tỷ,110,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà mặt phố,5,1.0,1.0
2.4 Tỷ,98,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,6,,
8 Tỷ,311,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,4.0,4.0
8 Tỷ,311,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,4.0,4.0
2 Tỷ,150,"Xã Hòa Phước, Huyện Hòa Vang",Nhà đất thổ cư,5,2.0,1.0
2.9 Tỷ,300,"Phường Hòa Thọ Tây, Quận Cẩm Lệ","Nhà biệt thự, liền kề",16,1.0,1.0
2.2 Tỷ,70,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà trong ngõ,6,3.0,3.0
38 Tỷ,143,"Phường Hải Châu II, Quận Hải Châu",Nhà mặt phố,5,4.0,3.0
40 Tỷ,176,"Phường Hải Châu II, Quận Hải Châu",Nhà mặt phố,6,,
12.5 Tỷ,350,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,4.0,4.0
1.75 Tỷ,50,"Phường Hòa Thuận Đông, Quận Hải Châu",Nhà đất thổ cư,4,3.0,2.0
1.75 Tỷ,50,"Phường Bình Hiên, Quận Hải Châu",Nhà đất thổ cư,5,3.0,2.0
3400 Tỷ,45,"Phường Bình Hiên, Quận Hải Châu",Condotel,4,3.0,3.0
6.5 Tỷ,90,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,5,4.0,4.0
4.15 Tỷ,83,"Phường An Hải Đông, Quận Sơn Trà",Nhà trong ngõ,5,3.0,2.0
2.4 Tỷ,50,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Nhà trong ngõ,5,2.0,1.0
4050 Tỷ,85,"Phường An Khê, Quận Thanh Khê",Nhà mặt phố,5,3.0,3.0
3.65 Tỷ,53,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà trong ngõ,4,,
1.62 Tỷ,74,"Phường Hòa Khánh Nam, Quận Liên Chiểu",Nhà trong ngõ,5,2.0,1.0
1.62 Tỷ,74,"Phường Hòa Khánh Nam, Quận Liên Chiểu",Nhà trong ngõ,5,2.0,1.0
3 Tỷ,96,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà đất thổ cư,5,2.0,2.0
3.63 Tỷ,100,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Nhà mặt phố,5,5.0,6.0
5.15 Tỷ,125,"Phường Hòa Hiệp Nam, Quận Liên Chiểu","Nhà biệt thự, liền kề",5,7.0,
1.86 Tỷ,70,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,7,2.0,2.0
6 Tỷ,120,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,3.0
4.95 Tỷ,96,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,3.0
6.22 Tỷ,92,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,5,3.0,3.0
1.9 Tỷ,56,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà đất thổ cư,6,2.0,1.0
3.6 Tỷ,100,"Phường Hòa Hiệp Nam, Quận Liên Chiểu","Nhà biệt thự, liền kề",5,3.0,3.0
2.8 Tỷ,61,"Phường Vĩnh Trung, Quận Thanh Khê",Nhà trong ngõ,3,2.0,4.0
6.35 Tỷ,90,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà đất thổ cư,5,4.0,3.0
6.35 Tỷ,100,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà đất thổ cư,5,4.0,3.0
3.2 Tỷ,68,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà trong ngõ,4,3.0,2.0
1.9 Tỷ,56,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Nhà trong ngõ,6,2.0,1.0
4.2 Tỷ,63,"Phường Xuân Hà, Quận Thanh Khê",Nhà mặt phố,5,3.0,4.0
4.85 Tỷ,76,"Phường Hòa Minh, Quận Liên Chiểu",Nhà mặt phố,4,4.0,4.0
24.5 Tỷ,300,"Phường Hòa Thọ Đông, Quận Cẩm Lệ","Nhà biệt thự, liền kề",15,6.0,8.0
3.95 Tỷ,52,"Phường Bình Hiên, Quận Hải Châu","Nhà biệt thự, liền kề",5,3.0,3.0
4.95 Tỷ,50,"Phường Thuận Phước, Quận Hải Châu",Nhà đất thổ cư,6,3.0,
13 Tỷ,115,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,5,7.0,7.0
2.6 Tỷ,56,"Phường Thanh Bình, Quận Hải Châu",Nhà trong ngõ,4,2.0,2.0
5.7 Tỷ,81,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà mặt phố,4,5.0,4.0
4.8 Tỷ,96,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,
2.27 Tỷ,47,"Phường Tân Chính, Quận Thanh Khê",Nhà trong ngõ,4,2.0,2.0
4.55 Tỷ,75,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,4,4.0,2.0
4.5 Tỷ,78,"Phường An Khê, Quận Thanh Khê",Nhà mặt phố,6,,
11 Tỷ,173,"Phường An Hải Đông, Quận Sơn Trà",Nhà mặt phố,65,4.0,4.0
7.2 Tỷ,85,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,5,3.0,2.0
4.3 Tỷ,82,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,4,,
3.4 Tỷ,60,"Phường Bình Hiên, Quận Hải Châu",Nhà trong ngõ,4,3.0,3.0
8.9 Tỷ,160,"Phường Hòa Phát, Quận Cẩm Lệ",Nhà mặt phố,5,6.0,6.0
4.05 Tỷ,85,"Phường Hải Châu I, Quận Hải Châu",Nhà trong ngõ,4,3.0,3.0
2.07 Tỷ,33,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà trong ngõ,3,2.0,2.0
21 Tỷ,220,"Phường Hòa Cường Nam, Quận Hải Châu","Nhà biệt thự, liền kề",17,4.0,5.0
10.5 Tỷ,99,"Phường An Hải Tây, Quận Sơn Trà",Nhà mặt phố,4,3.0,2.0
7.8 Tỷ,90,"Phường Thanh Khê Tây, Quận Thanh Khê",Căn hộ chung cư,5,11.0,11.0
3.4 Tỷ,70,"Phường Hòa Thuận Tây, Quận Hải Châu",Nhà trong ngõ,5,3.0,2.0
10 Tỷ,100,"Phường An Khê, Quận Thanh Khê",Nhà mặt phố,5,,
7.3 Tỷ,73,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,5,3.0,4.0
25 Tỷ,240,"Phường Chính Gián, Quận Thanh Khê",Nhà mặt phố,8,5.0,5.0
13 Tỷ,131,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,5,3.0,3.0
15 Tỷ,155,"Phường Chính Gián, Quận Thanh Khê",Nhà mặt phố,9,6.0,6.0
12.9 Tỷ,340,"Phường Mân Thái, Quận Sơn Trà","Nhà biệt thự, liền kề",15,3.0,4.0
19 Tỷ,205,"Phường Hòa Cường Bắc, Quận Hải Châu","Nhà biệt thự, liền kề",10,5.0,
12 Tỷ,200,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",10,6.0,
1.4 Tỷ,50,"Phường Mỹ An, Quận Ngũ Hành Sơn",Căn hộ chung cư,7,,
4.6 Tỷ,100,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,2.0,3.0
583.2 Triệu,108,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,1.0
588.5 Triệu,107,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,1.0
13 Tỷ,330,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,5.0,
21 Tỷ,300,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà đất thổ cư,15,3.0,3.0
5.5 Tỷ,106,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Nhà đất thổ cư,5,3.0,3.0
45.28 Triệu,28,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,5,1.0,1.0
1.6 Tỷ,28,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Căn hộ chung cư,5,1.0,1.0
15 Tỷ,300,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,,
2.32 Tỷ,41,"Phường Chính Gián, Quận Thanh Khê",Nhà trong ngõ,5,,2.0
6.25 Tỷ,175,"Phường Nại Hiên Đông, Quận Sơn Trà",Nhà mặt phố,8,,
21 Tỷ,470,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,,
21 Tỷ,470,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,,
14.65 Tỷ,427,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,3.0,3.0
12.3 Tỷ,427,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,3.0,3.0
8.5 Tỷ,95,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Căn hộ chung cư,5,11.0,
1.49 Tỷ,480,"Phường Hòa Cường Bắc, Quận Hải Châu",Nhà mặt phố,6,5.0,5.0
5 Tỷ,80,"Phường Xuân Hà, Quận Thanh Khê",Nhà trong ngõ,9,10.0,11.0
4.9 Tỷ,85,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà đất thổ cư,7,3.0,
13.5 Tỷ,120,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà mặt phố,6,,
2.4 Tỷ,300,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,5.0,5.0
4.2 Tỷ,68,"Phường Hòa Thuận Đông, Quận Hải Châu",Nhà trong ngõ,4,5.0,5.0
1.19 Tỷ,28,"Phường An Hải Bắc, Quận Sơn Trà",Căn hộ chung cư,4200,1.0,2.0
3.55 Tỷ,60,"Phường Thanh Khê Đông, Quận Thanh Khê",Nhà trong ngõ,4,2.0,
13 Tỷ,667,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,,
24 Tỷ,470,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,5.0,5.0
21 Tỷ,470,"Phường Hòa Hải, Quận Ngũ Hành Sơn","Nhà biệt thự, liền kề",15,5.0,
13.6 Tỷ,120,"Phường Hải Châu II, Quận Hải Châu","Nhà biệt thự, liền kề",6,4.0,4.0
13.6 Tỷ,411,"Phường Hải Châu II, Quận Hải Châu","Nhà biệt thự, liền kề",6,4.0,4.0
4 Tỷ,230,"Phường Hòa Xuân, Quận Cẩm Lệ",Nhà mặt phố,5,3.0,3.0
4.9 Tỷ,85,"Phường Mỹ An, Quận Ngũ Hành Sơn",Nhà trong ngõ,7,3.0,
16 Tỷ,125,"Phường Xuân Hà, Quận Thanh Khê",Nhà mặt phố,5,10.0,10.0
